Item,Tipología,Descripción
1,Actualización custodios e información de domicilio VIP,Proceso relacionado con la actualización de información de custodios y domicilios para garantizar registros actualizados en el sistema.
2,Actualización de información de producto en Centrales de Riesgo,Solicitud para modificar o actualizar información de productos específicos en el Centro de Información.
3,Actualización de información personal en Centrales de Riesgo,"Cambio o corrección de datos personales en el Centro de Información, tales como dirección, teléfono o correo electrónico."
4,Actualización equivocada de datos personales,Corrección de datos personales ingresados de manera incorrecta debido a errores humanos o del sistema.
5,Actualización reporte por normalización - Ley Borrón y Cuenta Nueva,"Actualización de reportes por procesos de normalización según la Ley 2157, relacionada con la actualización de obligaciones financieras."
6,Actualización reporte por pago total - Ley Borrón y Cuenta Nueva,Proceso relacionado con la actualización de reportes tras el pago total de obligaciones financieras bajo el marco de la Ley Borrón y Cuenta Nueva
7,Cambio de periodicidad de visualización de adquirencias,Cambio en la frecuencia de visualización de adquirencias para ajustarse a las necesidades del usuario o de la institución.
8,Conciliación de Adquirencia Premium,Revisión y ajuste de los datos relacionados con la adquirencia premium para garantizar la precisión y consistencia financiera.
9,Solicitud de Extractos de Adquirencias - Otros - PREMIUM,Solicitud para la generación y entrega de extractos específicos relacionados con adquirencias premium bajo categorías personalizadas.
10,Alivio - Barrido de cuotas,"Aplicación de un alivio financiero mediante el barrido o ajuste de cuotas, en beneficio del cliente."
11,Alivio - Imposibilidad de seguir pagando,Situación en la que el cliente solicita un alivio financiero debido a la incapacidad de cumplir con los pagos de las cuotas pendientes.
12,Alivio - Imposibilidad seguir pagando,Situación en la que el cliente solicita un alivio financiero debido a la incapacidad de cumplir con los pagos de las cuotas pendientes.
13,Alivio - Inconformidad de liquidación de intereses periodo de gracia,"Solicitud para revisar y corregir la liquidación de intereses en un periodo de gracia, debido a una posible discrepancia percibida por el cliente."
14,Alivio - Incumplimiento de Condiciones Alivio,Reclamo relacionado con el incumplimiento de las condiciones establecidas para un alivio financiero previamente acordado.
15,Alivio - Solicitud,Petición formal para obtener un alivio financiero que permita al cliente ajustar su situación económica con la institución.
16,Alivio - Solicitud ampliación,Petición formal para obtener un alivio financiero que permita al cliente ajustar su situación económica con la institución.
17,Alivio - Solicitud de normalización,Petición formal para obtener un alivio financiero que permita al cliente ajustar su situación económica con la institución.
18,Alivio -barrido de cuotas,"Aplicación de un alivio financiero mediante el barrido o ajuste de cuotas, en beneficio del cliente."
19,Debito y no entrego cajero administrado por la oficina,"Situación en la que el cajero automático realizó un débito a la cuenta del cliente pero no entregó el dinero solicitado, requiriendo una investigación."
20,El cliente no recibe extractos,"Incidente donde el cliente reporta no recibir sus extractos bancarios de forma oportuna, lo cual podría afectar su gestión financiera."
21,Inconformidad tasa ofrecida red de oficinas,Queja o reclamo relacionado con una discrepancia en la tasa ofrecida por la red de oficinas en comparación con las expectativas del cliente.
22,Infraestructura Oficina,"Reclamo o sugerencia sobre el estado físico, accesibilidad o adecuación de la infraestructura de una oficina bancaria."
23,Mal servicio prestado red de oficinas,Queja relacionada con una experiencia insatisfactoria en la atención brindada por la red de oficinas del banco.
24,Servicio brindado call center,"Feedback sobre la calidad del servicio recibido al interactuar con el call center, incluyendo tiempos de espera y resolución de consultas."
25,Servicio brindado casas de cobranza,Reclamo o comentario sobre el trato recibido o la gestión realizada por las casas de cobranza que representan al banco.
26,Servicio brindado oficina,"Evaluación o queja sobre el servicio ofrecido por los colaboradores en una oficina bancaria, incluyendo tiempos y calidad de atención."
27,Servicio brindado vendedores externos,Comentarios o reclamos relacionados con la calidad del servicio ofrecido por vendedores externos que representan al banco.
28,Atención lenta o deficiente,Reclamo por tiempos prolongados de atención o por una experiencia insatisfactoria en la resolución de consultas o problemas.
29,Tiempo de atención,"Preocupación o queja sobre el tiempo total requerido para ser atendido, tanto en oficinas como en otros canales del banco."
30,Gestión de cobranza,"Comentarios sobre la manera en que se lleva a cabo el proceso de cobranza, incluyendo posibles desacuerdos con los métodos utilizados."
31,Reestructuración deuda,"Solicitud o proceso relacionado con la reestructuración de una deuda existente, ajustando términos como plazos o tasas de interés para facilitar el pago."
32,Cobro consulta de saldo,Reclamo o consulta relacionada con el cobro aplicado por la consulta de saldo en una cuenta o producto financiero
33,Cobro cuota de administración,"Comentarios o reclamos sobre los cargos aplicados por la administración de un producto financiero, como cuentas de ahorro o corrientes."
34,Cobro cuota de manejo,Queja o duda sobre los cobros recurrentes asociados a la cuota de manejo de productos como tarjetas de crédito o débito.
35,Cobro cuota de manejo - Portafolio master,Revisión o reclamo sobre el cobro específico de la cuota de manejo asociada a productos del portafolio master del banco.
36,Cobro cuota de manejo - Portafolio master Standar,"Queja o duda sobre los cobros recurrentes asociados a la cuota de manejo de productos específicos del portafolio, como tarjetas de crédito o débito."
37,Cobro cuota de manejo - Portafolio tc visa,"Queja o duda sobre los cobros recurrentes asociados a la cuota de manejo de productos específicos del portafolio, como tarjetas de crédito o débito."
38,Cobro cuota de manejo - Portafolio tc visa tarjetón,"Queja o duda sobre los cobros recurrentes asociados a la cuota de manejo de productos específicos del portafolio, como tarjetas de crédito o débito."
39,Cobro cuota portafolio net PIBE,"Revisión o duda sobre cobros aplicados a transacciones dentro del portafolio Net PIBE del banco, relacionado con un servicio específico."
40,Cobro de comisiones transacciones no exitosas otras redes,"Reclamo por cobros realizados a pesar de que las transacciones en otras redes no se completaron exitosamente, solicitando una revisión."
41,Cobro duplicado de seguros,Reclamo sobre cobros duplicados relacionados con pólizas de seguros adquiridas con el banco.
42,Cobro por operaciones fallidas en cajeros electrónicos,Queja por cobros realizados a pesar de que las operaciones en cajeros electrónicos no se completaron correctamente.
43,Cobro servicios (Ley 2009 de 2019),Revisión de cobros relacionados con servicios financieros en el marco de la Ley 2009 de 2019.
